Session name, Instructors, Groups
Discrete Mathematics {lec}, Andrey Frolov, B20-01/B20-02/B20-03/B20-04/B20-05/B20-06
Discrete Mathematics {tut}, Andrey Frolov, B20-01/B20-02/B20-03/B20-04/B20-05/B20-06
Discrete Mathematics {lab1}, Naumcheva Mariya, B20-01
Discrete Mathematics {lab2}, Ilya Khomyakov, B20-02
Discrete Mathematics {lab3}, Ruzilia Mukhutdinova, B20-03
Discrete Mathematics {lab4}, Ruzilia Mukhutdinova, B20-04
Discrete Mathematics {lab5}, Ilya Khomyakov, B20-05
Discrete Mathematics {lab6}, Naumcheva Mariya, B20-06
Programming Software Systems 1 {lec}, Eugene Zouev, B20-01/B20-02/B20-03/B20-04
Programming Software Systems 1 {tut}, Eugene Zouev, B20-01/B20-02/B20-03/B20-04
Programming Software Systems 1 {lab1}, Sirojiddin Komolov, B20-01
Programming Software Systems 1 {lab2}, Sirojiddin Komolov, B20-02
Programming Software Systems 1 {lab3}, Mansur Khazeev, B20-03
Programming Software Systems 1 {lab4}, Mansur Khazeev, B20-04
Fundamentals of Philosophy (Logic) {lec}, Mirko Farina, B20-01/B20-02/B20-03/B20-04
Philosophy (Logic) {lec}, ACA BACA, B20-05/B20-06
Fundamentals of Philosophy (Logic) {lab1}, Hamna Aslam, B20-01
Fundamentals of Philosophy (Logic) {lab2}, Hamna Aslam, B20-02
Fundamentals of Philosophy (Logic) {lab3}, Mirko Farina, B20-03
Fundamentals of Philosophy (Logic) {lab4}, Mirko Farina, B20-04
Philosophy (Logic) {lab5}, Timur Fayzrakhmanov, B20-05
Philosophy (Logic) {lab6}, Timur Fayzrakhmanov, B20-06
Calculus 1 {lec}, Ivan Konyukhov, B20-01/B20-02/B20-03/B20-04
Calculus 1 {tut}, Ivan Konyukhov, B20-01/B20-02/B20-03/B20-04
Calculus 1 {lab1}, Ivan Konyukhov, B20-01
Calculus 1 {lab2}, Ivan Konyukhov, B20-02
Calculus 1 {lab3}, Ramil Dautov, B20-03
Calculus 1 {lab4}, Ramil Dautov, B20-04
Computer Architecture {lec}, Alexander Tormasov, B20-01/B20-02/B20-03/B20-04
Fundamentals of Computer Architecture {lec}, Aba Daba, B20-05/B20-06
Computer Architecture {tut}, Artem Burmyakov, B20-01/B20-02/B20-03/B20-04
Fundamentals of Computer Architecture {tut}, Muhammad Fahim, B20-05/B20-06
Computer Architecture {lab1}, Vladislav Ostankovich, B20-01
Computer Architecture {lab2}, Vladislav Ostankovich, B20-02
Computer Architecture {lab3}, Manuel Rodriguez, B20-03
Computer Architecture {lab4}, Manuel Rodriguez, B20-04
Fundamentals of Computer Architecture {lab5}, Hamza Salem, B20-05
Fundamentals of Computer Architecture {lab6}, Hamza Salem, B20-06
Essentials of Analytical Geometry and Linear Algebra 1 {lec}, Vladimir Ivanov, B20-01/B20-02/B20-03/B20-04
Essentials of Analytical Geometry and Linear Algebra 1 {tut}, Mohammad Reza Bahrami, B20-01/B20-02/B20-03/B20-04
Essentials of Analytical Geometry and Linear Algebra 1 {lab1}, Anastasiya Puzankova, B20-01
Essentials of Analytical Geometry and Linear Algebra 1 {lab2}, Anastasiya Puzankova, B20-02
Essentials of Analytical Geometry and Linear Algebra 1 {lab3}, Oleg Bulichev, B20-03
Essentials of Analytical Geometry and Linear Algebra 1 {lab4}, Oleg Bulichev, B20-04
Introduction to Programming 1 {lec}, Luiz Araújo, B20-05/B20-06
Introduction to Programming 1 {tut}, Luiz Araújo, B20-05/B20-06
Introduction to Programming 1 {lab5}, Munir Makhmutov, B20-05
Introduction to Programming 1 {lab6}, Munir Makhmutov, B20-06
Mathematical Analysis 1 {lec}, Sergey Gorodetskiy, B20-05/B20-06
Mathematical Analysis 1 {tut}, Sergey Gorodetskiy, B20-05/B20-06
Mathematical Analysis 1 {lab5}, Pavel Khakimov, B20-05
Mathematical Analysis 1 {lab6}, Pavel Khakimov, B20-06
Analytical Geometry and Linear Algebra 1 {lec}, Leonid Merkin, B20-05/B20-06
Analytical Geometry and Linear Algebra 1 {tut}, Ivan Konyukhov, B20-05/B20-06
Analytical Geometry and Linear Algebra 1 {lab5}, Nikolay Kudasov, B20-05
Analytical Geometry and Linear Algebra 1 {lab6}, Nikolay Kudasov, B20-06
